,date,fold,y_true,kmeans_state,hmm_state,kmeans_prob,hmm_prob_hard,hmm_prob_soft,kmeans_risk_rank,train_event_rate_x,hmm_risk_rank,train_event_rate_y,price
146,2009-07-31,1,0,2,2,0.16,0.1424657534246575,0.1424657534246391,3,0.16,3,0.1424657534246575,1557.2900390625
147,2009-08-03,1,0,2,2,0.16,0.1424657534246575,0.1424657534246311,3,0.16,3,0.1424657534246575,1564.97998046875
148,2009-08-04,1,0,2,2,0.16,0.1424657534246575,0.1424657534246137,3,0.16,3,0.1424657534246575,1566.3699951171875
149,2009-08-05,1,0,2,2,0.16,0.1424657534246575,0.1424657534244773,3,0.16,3,0.1424657534246575,1559.469970703125
150,2009-08-06,1,0,2,2,0.16,0.1424657534246575,0.1424657534245968,3,0.16,3,0.1424657534246575,1565.0400390625
151,2009-08-07,1,0,2,2,0.16,0.1424657534246575,0.1424657534246652,3,0.16,3,0.1424657534246575,1576.0
152,2009-08-10,1,0,2,2,0.16,0.1424657534246575,0.1424657534245994,3,0.16,3,0.1424657534246575,1576.1099853515625
153,2009-08-11,1,0,2,2,0.16,0.1424657534246575,0.142465753424629,3,0.16,3,0.1424657534246575,1579.2099609375
154,2009-08-12,1,0,2,2,0.16,0.1424657534246575,0.1424657534246192,3,0.16,3,0.1424657534246575,1565.3499755859375
155,2009-08-13,1,0,2,2,0.16,0.1424657534246575,0.1424657534243983,3,0.16,3,0.1424657534246575,1564.6400146484375
156,2009-08-14,1,0,2,2,0.16,0.1424657534246575,0.1424657534245652,3,0.16,3,0.1424657534246575,1591.4100341796875
157,2009-08-17,1,0,2,2,0.16,0.1424657534246575,0.1424657533821006,3,0.16,3,0.1424657534246575,1547.06005859375
158,2009-08-18,1,0,2,2,0.16,0.1424657534246575,0.1424657533752956,3,0.16,3,0.1424657534246575,1550.239990234375
159,2009-08-19,1,0,1,2,0.0553191489361702,0.1424657534246575,0.1424657533050564,0,0.0553191489361702,3,0.1424657534246575,1545.9599609375
160,2009-08-20,1,0,2,2,0.16,0.1424657534246575,0.1424657534235463,3,0.16,3,0.1424657534246575,1576.3900146484375
161,2009-08-21,1,0,2,2,0.16,0.1424657534246575,0.1424657534243515,3,0.16,3,0.1424657534246575,1580.97998046875
